FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
9800	2	Apidae	Diadasia	 	australis	 	White Point, 0.73 mi SE	21-May-01	Opuntia sp.
9801	1	Apidae	Diadasia	 	australis	 	White Point, 3.4 mi NNW	8-May-00	Opuntia polyacantha
9802	1	Apidae	Diadasia	 	diminuta	 	Alvey Wash	27-Jul-00	No Floral Record
9803	2	Apidae	Diadasia	 	diminuta	 	Alvey Wash	27-Jul-00	No Floral Record
9804	1	Apidae	Diadasia	 	diminuta	 	Alvey Wash, 3 mi S Escalante	19-Jun-00	No Floral Record
9805	1	Apidae	Diadasia	 	diminuta	 	Blondie Knoll, 2.3 mi NW	29-May-01	Calochortus nuttallii
9806	1	Apidae	Diadasia	 	diminuta	 	Blondie Knoll, 2.3 mi NW	30-May-01	Calochortus nuttallii
9807	1	Apidae	Diadasia	 	diminuta	 	Brigham Plains, 4.0 mi S	6-Jun-01	Thelesperma subnudum
9808	1	Apidae	Diadasia	 	diminuta	 	Bull Valley Gorge, 6.7 mi W Rainbow Pt	20-Jun-00	Argemone sp.
9809	1	Apidae	Diadasia	 	diminuta	 	Bull Valley Gorge, 6.7 mi W Rainbow Pt	20-Jun-00	Asteraceae sp. (yellow)
9810	7	Apidae	Diadasia	 	diminuta	 	Burr Trail, 7.4 mi S jct E end Wolverine	25-May-00	No Floral Record
9811	11	Apidae	Diadasia	 	diminuta	 	Burr Trail, 7.4 mi S jct E end Wolverine	25-May-00	Sphaeralcea grossulariifolia
9812	3	Apidae	Diadasia	 	diminuta	 	Butler Valley Dam	4-Aug-03	No Floral Record
9813	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	19-Jun-01	Asteraceae sp.
9814	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	4-Jul-01	Cleome lutea
9815	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	5-Oct-00	Ericameria nauseosa
9816	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	19-Jun-01	Hymenopappus filifolius
9817	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	19-Jun-01	Opuntia polyacantha
9818	3	Apidae	Diadasia	 	diminuta	 	Calf Creek	7-Jun-00	Penstemon eatonii
9819	2	Apidae	Diadasia	 	diminuta	 	Calf Creek	19-Jun-01	Psilostrophe sparsiflora
9820	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	26-Jul-01	Sphaeralcea coccinea
9821	17	Apidae	Diadasia	 	diminuta	 	Calf Creek	4-Jul-01	Sphaeralcea coccinea
9822	1	Apidae	Diadasia	 	diminuta	 	Calf Creek	14-May-01	Sphaeralcea grossulariifolia
9823	9	Apidae	Diadasia	 	diminuta	 	Calf Creek	19-Jun-01	Sphaeralcea grossulariifolia
9824	8	Apidae	Diadasia	 	diminuta	 	Calf Creek	28-May-01	Sphaeralcea grossulariifolia
9825	4	Apidae	Diadasia	 	diminuta	 	Calf Creek	4-Jul-01	Sphaeralcea grossulariifolia
9826	3	Apidae	Diadasia	 	diminuta	 	Carly Knoll, 2.1 mi ESE	5-Sep-03	Sphaeralcea sp.
9827	9	Apidae	Diadasia	 	diminuta	 	Carly Knoll, 2.1 mi ESE	5-Sep-03	Viguiera multiflora
9828	1	Apidae	Diadasia	 	diminuta	 	Colt Mesa, 0.9 mi SW	25-May-00	Tamarix sp.
9829	1	Apidae	Diadasia	 	diminuta	 	Cottonwood Creek	2-Sep-03	Helianthus annuus
9830	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.34 mi SW	15-Jun-01	Calochortus aureus
9831	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	7-Jul-00	Asteraceae sp.
9832	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	31-Jul-03	Erigeron bellidiastrum
9833	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	15-Aug-03	Heterotheca villosa
9834	3	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	15-Aug-03	No Floral Record
9835	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	31-Jul-03	No Floral Record
9836	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	7-Jul-00	Senecio multilobatus
9837	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	19-Sep-00	Senecio spartioides
9838	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.61mi SSW	16-Jul-02	Sphaeralcea grossulariifolia
9839	3	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.73 mi SSE	15-Jun-01	Calochortus aureus
9840	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.73 mi SSE	15-Jun-01	Opuntia polyacantha
9841	2	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 0.97 mi SSE	15-Aug-03	Sphaeralcea sp.
9842	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.27 mi NW	27-Jul-00	Senecio spartioides
9843	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.28 mi SW	26-Jul-00	Cirsium sp.
9844	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.28 mi SW	2-Aug-01	Heterotheca villosa
9845	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	15-Aug-03	Cirsium scariosum
9846	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	26-Jul-00	Cirsium sp.
9847	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	15-Aug-03	Erigeron bellidiastrum
9848	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	3-Sep-03	Erigeron sp.
9849	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	31-Jul-03	Machaeranthera sp.
9850	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	15-Aug-03	No Floral Record
9851	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	31-Jul-03	No Floral Record
9852	1	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	7-Jul-00	Potentilla gracilis
9853	2	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	16-Jun-00	Ranunculus sceleratus
9854	5	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	30-May-00	Sphaeralcea coccinea
9855	2	Apidae	Diadasia	 	diminuta	 	Cougar Knoll, 1.32 mi SSW	20-Jun-03	Sphaeralcea sp.
9856	1	Apidae	Diadasia	 	diminuta	 	Dance Hall Rock, 1.82 mi NW	22-May-01	Sphaeralcea coccinea
9857	1	Apidae	Diadasia	 	diminuta	 	Death Ridge, 0.72 mi SW	12-Sep-03	Machaeranthera canescens
9858	1	Apidae	Xylocopa	(Xylocopoides)	californica	 	Deer Creek	24-Apr-01	Sphaeralcea sp.
9859	1	Apidae	Xylocopa	(Xylocopoides)	californica	 	Deer Creek	25-May-01	Tamarix sp.
9860	1	Apidae	Zacosmia	 	maculata	 	Deer Creek	22-Jun-01	Heterotheca villosa
9861	1	Colletidae	Colletes	 	sphaeralceae	 	Deer Creek	25-May-01	Sphaeralcea sp.
9862	1	Apidae	Diadasia	 	diminuta	 	Dry Fork	8-May-01	Calochortus aureus
9863	1	Apidae	Diadasia	 	diminuta	 	Dry Fork	26-Aug-03	Grindelia squarrosa
9864	8	Apidae	Diadasia	 	diminuta	 	Dry Fork	7-Jun-01	Sphaeralcea sp.
9865	1	Megachilidae	Dianthidium	(Dianthidium)	parvum	 	Duffy Mesa, 1.8 mi NNW	7-Jun-01	No Floral Record
9866	1	Megachilidae	Dianthidium	(Dianthidium)	parvum	 	Duffy Mesa, 1.8 mi NNW	3-Jul-03	Sphaeralcea parvifolia
9867	1	Megachilidae	Dianthidium	(Dianthidium)	parvum	 	Duffy Mesa, 1.8 mi NNW	3-Jul-03	Stephanomeria exigua
9868	1	Megachilidae	Dianthidium	(Dianthidium)	parvum	 	Duffy Mesa, 1.8 mi NNW	7-Jun-01	Tamarix sp.
