FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
0	1	Andrenidae	Ancylandrena	 	timberlakei	 	Dry Fork, N	22-May-01	Psorothamnus fremontii
1	1	Andrenidae	Andrena	(Andrena)	frigida	 	Calf Creek	9-Apr-03	No Floral Record
2	2	Andrenidae	Andrena	(Andrena)	frigida	 	Calf Creek	9-Apr-03	Salix exigua
3	1	Andrenidae	Andrena	(Andrena)	frigida	 	Henrieville Cr	1-May-01	Salix sp.
4	3	Andrenidae	Andrena	(Andrena)	frigida	 	Henrieville Creek	1-May-01	Rhus trilobata
5	1	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Duffy Mesa, 1.8 mi NNW	6-May-02	Salix exigua
6	2	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	14-May-01	Salix exigua
7	1	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Escalante Riv., jct Death Hollow, 1.3 mi W	30-May-01	Salix exigua
8	4	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Henrieville Cr	1-May-01	Salix sp.
9	2	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Henrieville Cr	5-May-02	Salix sp.
11	8	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Long Cyn, 0.8 mi NNW mouth	10-May-01	Salix exigua
12	5	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Long Cyn, 0.8 mi NNW mouth	24-Apr-01	Salix exigua
13	2	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Long Cyn, 0.8 mi NNW mouth	24-Apr-01	Salix sp.
14	1	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Willow Spr., 4.7 mi NNE	12-May-03	Salix exigua
15	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Billy Pasture, 0.95 mi NW	13-May-03	Amelanchier utahensis
16	8	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Billy Pasture, 0.95 mi NW	3-May-02	Amelanchier utahensis
17	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Blackburn Cyn, mouth of	17-May-01	No Floral Record
18	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Blackburn Cyn, mouth of	30-May-01	No Floral Record
19	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.3 mi W	31-May-01	Sisymbrium altissimum
20	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.34 mi SW	30-May-01	Brassicaceae sp.
21	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.34 mi SW	30-May-01	Cryptantha sp.
22	9	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.4 mi E	31-May-01	Cryptantha sp.
23	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.4 mi E	31-May-01	No Floral Record
24	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.4 mi E	31-May-01	Phacelia sp.
25	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.4 mi E	31-May-01	Sisymbrium altissimum
26	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61 mi SSW	21-May-03	No Floral Record
27	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	16-May-00	Malus sp.
28	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	16-May-00	No Floral Record
29	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	5-Jun-03	No Floral Record
30	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	31-May-00	Rosa woodsii
31	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	30-May-01	Sisyrinchium idahoense
32	7	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	15-Jun-01	Sphaeralcea sp.
33	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	16-May-00	Taraxacum officinale
34	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	17-May-01	Taraxacum officinale
35	6	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	30-May-01	Taraxacum officinale
36	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.61mi SSW	9-May-02	Taraxacum officinale
37	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.73 mi SSE	18-May-01	Amelanchier utahensis
38	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.73 mi SSE	18-May-01	Arctostaphylos patula
39	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.73 mi SSE	21-May-03	No Floral Record
40	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.73 mi SSE	29-May-01	Symphoricarpos oreophilus
41	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	14-Jun-01	Asteraceae sp. (yellow)
42	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	17-May-01	Balsamorhiza sagittata
43	5	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	31-May-00	Cymopterus lemmonii
44	6	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	31-May-00	Cymopterus sp.
45	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	30-May-01	Ligusticum sp.
46	14	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	31-May-00	Linum perenne
47	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	14-Jun-01	No Floral Record
48	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	31-May-00	No Floral Record
49	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	31-May-00	Senecio multilobatus
50	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	30-May-01	Symphoricarpos oreophilus
51	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi NW	31-May-00	Symphoricarpos sp.
52	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi SSE	31-May-01	Brassicaceae sp.
53	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi SSE	31-May-01	Lesquerella sp.
54	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi SSE	18-May-01	Ribes sp.
55	10	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.97 mi SSE	31-May-01	Thelypodiopsis divaricata
56	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	30-May-01	Achillea millefolium
57	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	17-May-01	Amelanchier utahensis
58	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	30-May-01	Cryptantha sp.
59	7	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	30-May-01	Cryptantha sp.
60	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	17-May-01	No Floral Record
61	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	30-May-01	Symphoricarpos oreophilus
62	11	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	30-May-01	Taraxacum officinale
63	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.27 mi NW	9-May-02	Taraxacum officinale
64	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	18-May-01	Acer sp.
65	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	18-May-01	Amelanchier utahensis
66	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	31-May-00	Lupinus sp.
67	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	31-May-01	No Floral Record
68	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	15-Jun-01	Rosa woodsii
69	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	18-May-01	Taraxacum officinale
70	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	23-May-02	Taraxacum officinale
71	23	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	31-May-01	Taraxacum officinale
72	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.28 mi SW	8-May-02	Taraxacum officinale
73	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.32 mi SSW	30-May-01	Brassicaceae sp.
74	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.32 mi SSW	30-May-01	Taraxacum officinale
75	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.32 mi SSW	8-May-02	Taraxacum officinale
76	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.32 mi SSW	30-May-01	Thelypodiopsis divaricata
77	6	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	Cymopterus lemmonii
78	7	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	Cymopterus sp.
79	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	No Floral Record
80	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	Rosa sp.
81	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	Senecio multilobatus
82	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	Taraxacum officinale
83	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 1.33 mi NW	31-May-00	Veronica anagallis-aquatica
84	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, near	30-May-00	Cryptantha pterocarya
85	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	14-May-01	Physaria newberryi
86	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	14-May-01	Salix exigua
87	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Escalante Riv., jct Death Hollow, 1.3 mi W	30-Apr-01	Salix exigua
88	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	George Hollow, 0.22 mi SE	18-May-01	Amelanchier utahensis
89	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	George Hollow, 0.22 mi SE	8-May-02	Rhus trilobata
90	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	George Hollow, 0.22 mi SE	30-May-01	Symphoricarpos oreophilus
91	8	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	George Hollow, 0.22 mi SE	30-May-01	Taraxacum officinale
92	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Georgie Hollow, 0.6 mi NE	18-May-01	Amelanchier utahensis
93	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Georgie Hollow, 0.6 mi NE	8-May-02	Amelanchier utahensis
94	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Georgie Hollow, 0.6 mi NE	18-May-01	No Floral Record
95	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Georgie Hollow, 0.6 mi NE	9-May-02	No Floral Record
96	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Georgie Hollow, 1 mi E	15-May-00	No Floral Record
97	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Georgie Hollow, 2.3 mi E of head	29-May-01	Cryptantha sp.
98	4	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lake Canyon	31-May-01	Brassicaceae sp.
99	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lake Canyon	29-May-00	Cryptantha pterocarya
100	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lake Canyon	31-May-01	No Floral Record
101	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lake Canyon	31-May-01	Thelypodiopsis divaricata
102	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lake Pasture	4-May-00	No Floral Record
103	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lake Pasture, 0.86 mi SW	30-May-01	Cryptantha sp.
104	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	27-May-03	Cryptantha sp.
105	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	3-May-02	Erysimum asperum
106	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	13-May-03	No Floral Record
107	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	3-May-02	No Floral Record
108	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	3-May-02	Rhus aromatica
109	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	13-May-03	Rhus trilobata
110	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	14-May-02	Rhus trilobata
111	3	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Lick Wash	3-May-02	Rhus trilobata
112	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Llewellyn Spr.	17-May-01	No Floral Record
113	4	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Mudhole Spr., 0.08 mi NNW	30-May-01	Euphorbia brachycera
114	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Mudhole Spr., 0.08 mi NNW	30-May-01	No Floral Record
115	56	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Mudhole Spr., 0.08 mi NNW	30-May-01	Philadelphus microphyllus
116	6	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Mudhole Spr., 0.22 mi N	17-May-01	Amelanchier utahensis
117	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Pet Hollow	12-May-03	Rhus trilobata
118	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Pleasant Grove Springs, 0.2 mi W	31-May-00	Linum perenne
119	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Pleasant Grove Springs, 0.5 mi E	18-May-01	Amelanchier utahensis
120	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Pocket Hollow Spr., 1.3 mi NW	17-May-01	No Floral Record
121	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Pool Hollow, 0.76 mi ENE	30-May-01	Cryptantha sp.
122	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Pool Hollow, nr.	30-May-01	Sisymbrium altissimum
123	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	White Point, 0.4 mi S	21-May-01	Opuntia erinacea
124	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Billy Pasture, 0.4 mi N	10-Apr-03	No Floral Record
125	6	Andrenidae	Andrena	(Andrena)	schuhi	 	Billy Pasture, 0.95 mi NW	3-May-02	Amelanchier utahensis
126	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Billy Pasture, 0.95 mi NW	3-May-02	Cryptantha fendleri
127	10	Andrenidae	Andrena	(Andrena)	schuhi	 	Billy Pasture, 0.95 mi NW	13-May-03	No Floral Record
128	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Blondie Knoll, 2.3 mi NW	29-Apr-02	Amelanchier utahensis
129	19	Andrenidae	Andrena	(Andrena)	schuhi	 	Burnt Ridge, 1 mi N	21-May-03	No Floral Record
130	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.2 mi NE	5-May-02	Arctostaphylos patula
131	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.34 mi SW	30-May-01	Cryptantha sp.
132	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.34 mi SW	30-May-01	Erysimum asperum
133	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.34 mi SW	9-May-02	No Floral Record
134	6	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.4 mi E	31-May-01	Cryptantha sp.
135	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.4 mi E	31-May-01	No Floral Record
136	6	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.4 mi E	31-May-01	Phacelia sp.
137	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.4 mi E	31-May-01	Sisymbrium altissimum
138	5	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61 mi SSW	21-May-03	No Floral Record
139	7	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61mi SSW	16-May-00	Malus sp.
140	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61mi SSW	16-May-00	No Floral Record
141	7	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61mi SSW	29-Apr-02	Ribes leptanthum
142	5	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61mi SSW	17-May-01	Taraxacum officinale
143	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61mi SSW	21-May-03	Taraxacum officinale
144	4	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.61mi SSW	29-Apr-02	Taraxacum officinale
145	5	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.62 mi SE	16-May-01	No Floral Record
146	9	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.73 mi SSE	18-May-01	Amelanchier utahensis
147	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.73 mi SSE	17-May-01	No Floral Record
148	5	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.73 mi SSE	21-May-03	No Floral Record
149	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.73 mi SSE	29-Apr-02	Taraxacum officinale
150	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.77 mi SSW	16-May-00	Cryptantha flava
151	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.77 mi SSW	16-May-00	Cryptantha sp.
152	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.77 mi SSW	16-May-00	No Floral Record
153	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.97 mi NW	17-May-01	Amelanchier utahensis
154	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.97 mi SSE	9-May-02	Amelanchier utahensis
155	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.97 mi SSE	29-Apr-02	Taraxacum officinale
156	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 0.97 mi SSE	31-May-01	Thelypodiopsis divaricata
157	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.27 mi NW	17-May-01	Amelanchier utahensis
158	8	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.27 mi NW	30-May-01	Cryptantha sp.
159	5	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.27 mi NW	30-May-01	Cryptantha sp.
160	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.27 mi NW	17-May-01	Taraxacum officinale
161	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.28 mi SW	18-May-01	Amelanchier utahensis
162	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.28 mi SW	31-May-01	Lupinus argenteus
163	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.28 mi SW	31-May-01	Lupinus sp.
164	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.28 mi SW	18-May-01	Taraxacum officinale
165	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.28 mi SW	23-May-02	Taraxacum officinale
166	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.28 mi SW	31-May-01	Taraxacum officinale
167	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	30-May-00	Cryptantha pterocarya
168	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	30-May-01	Lupinus sp.
169	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	17-May-01	No Floral Record
170	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	21-May-03	No Floral Record
171	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	30-May-00	No Floral Record
172	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	16-May-00	Taraxacum officinale
173	11	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	17-May-01	Taraxacum officinale
174	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.32 mi SSW	30-May-01	Townsendia incana
175	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.33 mi NW	31-May-00	Cymopterus lemmonii
176	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, 1.33 mi SSW	16-May-00	Cryptantha sp.
177	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Cougar Knoll, near	30-May-00	Cryptantha pterocarya
178	1	Andrenidae	Andrena	(Andrena)	schuhi	 	George Hollow, 0.22 mi SE	8-May-02	Amelanchier utahensis
179	1	Andrenidae	Andrena	(Andrena)	schuhi	 	George Hollow, 0.22 mi SE	30-May-01	Symphoricarpos oreophilus
180	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 0.6 mi NE	18-May-01	Amelanchier utahensis
181	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 0.6 mi NE	8-May-02	Amelanchier utahensis
182	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 0.6 mi NE	29-May-01	Cryptantha sp.
183	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 0.6 mi NE	18-May-01	No Floral Record
184	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 1 mi E	15-May-00	Cryptantha flava
185	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 1 mi E	4-May-00	Cryptantha pterocarya
186	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 1 mi E	15-May-00	No Floral Record
187	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 1 mi E	29-May-00	No Floral Record
188	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 1 mi E	4-May-00	No Floral Record
189	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Georgie Hollow, 2.3 mi E of head	29-May-01	Cryptantha sp.
190	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Kitchen Corral Spr., 1.0 mi N	14-May-03	No Floral Record
191	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	31-May-01	Brassicaceae sp.
192	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	4-May-00	Cryptantha flava
193	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	29-May-01	Cryptantha sp.
194	8	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	4-May-00	No Floral Record
195	7	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	18-May-01	Taraxacum officinale
196	6	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	18-May-01	Taraxacum officinale
197	10	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	21-May-03	Taraxacum officinale
198	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	31-May-01	Thelypodiopsis divaricata
199	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Canyon	31-May-01	Thelypodiopsis divaricata
200	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Draw, 0.45 mi SSW	18-May-01	Delphinium nuttallianum
201	5	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Pasture	4-May-00	No Floral Record
202	12	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Pasture, 0.86 mi SW	30-May-01	Cryptantha sp.
203	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lake Pasture, 0.86 mi SW	30-May-01	No Floral Record
204	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Lick Wash	13-May-03	Phlox austromontana
205	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Llewellyn Spr., 0.6 mi ESE	17-May-01	No Floral Record
206	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Mudhole Cyn, head	30-May-01	No Floral Record
207	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Mudhole Spr., 0.08 mi NNW	30-May-01	No Floral Record
208	7	Andrenidae	Andrena	(Andrena)	schuhi	 	Mudhole Spr., 0.08 mi NNW	30-May-01	Philadelphus microphyllus
209	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Mudhole Spr., 0.22 mi N	17-May-01	Amelanchier utahensis
210	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Pleasant Grove Springs, 0.2 mi W	30-May-00	No Floral Record
211	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Pleasant Grove Springs, 0.5 mi E	18-May-01	Amelanchier utahensis
212	6	Andrenidae	Andrena	(Andrena)	schuhi	 	Pocket Hollow Spr., 1.3 mi NW	17-May-01	No Floral Record
213	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Pocket Hollow Springs, 0.25 mi E	16-May-01	No Floral Record
214	2	Andrenidae	Andrena	(Andrena)	schuhi	 	Pool Hollow, 0.76 mi ENE	30-May-01	Cryptantha sp.
215	3	Andrenidae	Andrena	(Andrena)	schuhi	 	Pool Hollow, 1.8 mi NE	30-May-01	No Floral Record
216	1	Andrenidae	Andrena	(Andrena)	schuhi	 	Pool Hollow, nr.	30-May-01	Brassicaceae sp.
